act_n,dist_rank,genre_rank,direct_rank,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend,Target
116,8,3,39,2434.0,791,7,477.0,1
22,5,13,57,5632.0,1035,20,783.0,0
93,4,13,36,484.0,1638,52,1334.0,1
117,3,8,67,868.0,771,39,0.0,1
59,3,5,18,9879.0,1912,86,748.0,1
17,8,15,89,145.0,179,7,542.0,0
34,8,13,67,150.0,54,5,0.0,0
77,6,13,67,264.0,161,5,510.0,0
66,8,13,67,585.0,282,6,1409.0,0
93,4,6,4,57304.0,3150,184,0.0,1
68,8,8,67,2648.0,640,26,496.0,0
156,2,5,11,5965.0,1164,0,407.0,1
26,2,9,67,7814.0,714,46,686.0,1
25,8,9,67,145.0,288,3,724.0,0
111,3,7,82,802.0,1028,25,778.0,0
117,4,9,24,754.0,1347,21,1113.0,0
156,8,13,67,2929.0,815,34,378.0,0
2,8,15,67,283.0,84,1,0.0,0
223,2,2,28,2468.0,2703,85,908.0,1
100,8,3,45,517.0,933,24,0.0,1
74,2,8,13,774.0,1476,38,2303.0,1
12,8,5,67,359.0,104,2,1182.0,0
90,3,13,3,3920.0,2790,66,478.0,0
49,1,13,67,293.0,1174,15,900.0,0
64,8,13,67,227.0,93,3,404.0,0
25,8,7,67,508.0,174,4,2546.0,0
61,6,8,58,5690.0,1037,7,0.0,0
80,4,6,4,5095.0,1374,68,0.0,1
129,3,9,21,724.0,950,9,444.0,1
69,3,8,38,760.0,1071,24,0.0,1
11,8,13,67,57.0,20,2,0.0,0
92,3,8,67,3320.0,814,61,772.0,1
28,3,3,69,2637.0,1068,0,484.0,1
73,8,3,76,237.0,689,12,430.0,0
115,8,5,67,574.0,151,3,1102.0,0
38,3,15,67,45099.0,21,85,0.0,1
121,4,3,59,3084.0,933,41,0.0,1
101,8,13,45,3259.0,561,43,521.0,0
120,4,3,50,24306.0,1890,108,323.0,1
56,8,13,67,42.0,85,3,0.0,0
4,1,11,67,25769.0,289,19,701.0,1
17,3,9,70,3042.0,514,6,0.0,0
40,8,5,67,163.0,310,4,0.0,0
61,6,13,67,2715.0,419,7,784.0,0
11,8,11,67,6376.0,177,2,401.0,0
74,3,3,67,4920.0,1051,6,838.0,1
92,2,3,73,155.0,856,6,1365.0,0
96,5,8,66,6696.0,1631,5,628.0,1
46,8,3,67,7026.0,591,6,449.0,1
65,2,13,46,13930.0,1692,14,486.0,1
80,4,13,67,1218.0,638,5,2696.0,0
35,7,15,86,20349.0,486,150,419.0,0
15,8,13,67,73.0,103,1,266.0,0
128,1,13,67,4647.0,940,43,611.0,1
14,8,8,67,901.0,323,4,193.0,0
