네이버_기대지수,star_buzz,Movie_Buzz,Target,act_n,dist_rank,genre_rank,direct_rank
619,263,10,0,20,8,3,67
0,17,104,0,66,8,15,67
33,103,7,0,10,9,13,67
8238,947,486,1,85,8,3,33
19766,1860,630,1,61,3,10,67
316,129,1446,0,21,8,10,97
1296,966,91,0,97,8,13,67
0,1672,800,1,53,4,13,67
2136,1299,677,0,85,3,5,76
1465,887,1974,1,69,8,13,67
3583,585,1746,0,98,6,13,84
0,718,236,1,24,3,7,43
0,2580,960,1,100,1,2,8
0,1590,816,1,85,1,5,22
1496,478,562,1,65,3,13,82
124,113,1018,0,31,8,9,67
0,93,2,0,49,8,10,67
3750,632,729,1,70,6,9,67
291,150,34,0,3,8,15,67
28626,908,617,1,92,2,13,67
7092,1234,624,0,98,3,2,80
2407,1253,588,1,78,1,3,26
2252,953,1426,0,140,4,3,77
259,95,401,0,3,8,8,67
1717,1233,608,1,48,3,5,47
1320,1151,983,1,49,1,5,18
155,223,4,0,50,8,15,67
6255,2407,793,1,119,4,2,15
0,909,836,0,5,3,10,35
0,165,1162,0,39,8,7,67
0,300,517,0,7,8,8,67
0,750,563,1,70,8,8,77
0,75,617,1,8,8,11,66
4017,1099,874,1,65,8,10,67
0,69,114,1,44,8,7,67
0,350,363,1,45,8,8,56
0,810,737,1,45,2,8,67
0,484,976,0,7,2,10,67
0,132,811,0,50,8,7,67
0,903,296,1,9,8,10,67
2564,302,1531,1,60,8,13,67
48999,1809,2178,1,88,6,13,67
7380,1423,929,1,67,3,10,67
7157,2051,325,1,110,8,13,32
3469,115,308,0,146,8,8,67
606,137,221,0,33,3,13,67
27413,2084,1058,1,59,2,8,13
430,161,596,0,3,8,10,92
20846,2733,1951,1,115,1,5,1
21361,1860,490,1,338,1,5,44
1766,411,1007,0,32,5,14,95
2529,528,680,0,80,6,8,67
0,659,652,1,102,8,13,58
194,210,1208,0,132,6,13,93
75,2,1924,0,10,8,8,67
15600,1637,679,1,133,3,10,67
5302,628,891,1,29,3,7,67
8651,1572,55,1,29,3,15,67
2953,1158,591,0,86,4,13,67
50,19,4,0,6,8,9,67
0,339,1871,0,56,3,10,86
111,91,929,0,2,8,13,67
633,292,371,1,91,8,8,67
236,124,307,1,6,9,13,67
202,20,493,0,46,8,8,67
21671,2589,875,1,58,3,7,67
1932,772,618,1,103,3,3,73
13693,1987,1166,1,73,3,13,5
10731,1196,1010,0,70,2,13,72
4941,1413,379,1,148,4,1,5
247,147,484,1,32,7,8,100
13877,1830,2654,1,295,3,13,67
