,act_n,dist_rank,genre_rank,direct_rank,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend,Target
273,90,3,13,3,3920.0,2790,66,478.0,0
274,49,1,13,67,293.0,1174,15,900.0,0
275,64,8,13,67,227.0,93,3,404.0,0
276,25,8,7,67,508.0,174,4,2546.0,0
277,61,6,8,58,5690.0,1037,7,0.0,0
278,80,4,6,4,5095.0,1374,68,0.0,0
279,129,3,9,21,724.0,950,9,444.0,0
280,69,3,8,38,760.0,1071,24,0.0,1
281,11,8,13,67,57.0,20,2,0.0,0
282,92,3,8,67,3320.0,814,61,772.0,0
283,28,3,3,69,2637.0,1068,0,484.0,0
284,73,8,3,76,237.0,689,12,430.0,0
285,115,8,5,67,574.0,151,3,1102.0,0
286,38,3,15,67,45099.0,21,85,0.0,1
287,121,4,3,59,3084.0,933,41,0.0,0
288,101,8,13,45,3259.0,561,43,521.0,0
289,120,4,3,50,24306.0,1890,108,323.0,0
290,56,8,13,67,42.0,85,3,0.0,0
291,4,1,11,67,25769.0,289,19,701.0,1
292,17,3,9,70,3042.0,514,6,0.0,0
293,40,8,5,67,163.0,310,4,0.0,0
294,61,6,13,67,2715.0,419,7,784.0,0
295,11,8,11,67,6376.0,177,2,401.0,0
296,74,3,3,67,4920.0,1051,6,838.0,0
297,92,2,3,73,155.0,856,6,1365.0,0
298,96,5,8,66,6696.0,1631,5,628.0,0
299,46,8,3,67,7026.0,591,6,449.0,0
300,65,2,13,46,13930.0,1692,14,486.0,1
301,80,4,13,67,1218.0,638,5,2696.0,0
302,35,7,15,86,20349.0,486,150,419.0,0
303,15,8,13,67,73.0,103,1,266.0,0
304,128,1,13,67,4647.0,940,43,611.0,0
305,14,8,8,67,901.0,323,4,193.0,0
306,127,3,13,67,202.0,182,5,403.0,0
307,102,1,13,16,10378.0,1622,16,577.0,0
308,60,8,13,67,308.0,295,3,290.0,0
309,63,4,13,67,466.0,557,13,0.0,1
310,46,5,7,67,383.0,1119,39,800.0,1
