네이버_기대지수,star_buzz,movie_buzz_naver,Target,act_n,dist_rank,genre_rank,direct_rank
6860.0,778,51,1,49,6,13,67
5486.0,1604,135,1,88,2,10,67
182.0,216,23,0,36,8,13,96
2734.0,996,101,1,64,8,5,67
1192.0,268,37,0,228,3,13,68
101.0,34,4,0,41,3,3,60
5046.0,809,119,0,58,6,13,67
614.0,247,29,0,37,8,13,81
12076.0,2040,265,1,108,3,10,43
9952.0,2913,230,1,91,3,5,6
619.0,263,10,0,20,8,3,67
0.0,17,4,0,66,8,15,67
33.0,103,7,0,10,9,13,67
8238.0,947,97,1,85,8,3,33
19766.0,1860,174,1,61,3,10,67
316.0,129,5,0,21,8,10,97
1296.0,966,91,0,97,8,13,67
0.0,1672,201,1,53,4,13,67
2136.0,1299,138,0,85,3,5,76
1465.0,887,64,1,69,8,13,67
3583.0,585,107,0,98,6,13,84
0.0,718,75,1,24,3,7,43
0.0,2580,129,1,100,1,2,8
0.0,1590,131,1,85,1,5,22
1496.0,478,108,1,65,3,13,82
124.0,113,25,0,31,8,9,67
0.0,93,2,0,49,8,10,67
3750.0,632,51,1,70,6,9,67
291.0,150,34,0,3,8,15,67
28626.0,908,232,1,92,2,13,67
7092.0,1234,93,0,98,3,2,80
2407.0,1253,127,1,78,1,3,26
2252.0,953,103,0,140,4,3,77
259.0,95,4,0,3,8,8,67
1717.0,1233,19,1,48,3,5,47
1320.0,1151,192,1,49,1,5,18
155.0,223,4,0,50,8,15,67
6255.0,2407,265,1,119,4,2,15
0.0,909,42,0,5,3,10,35
0.0,165,7,0,39,8,7,67
0.0,300,1,0,7,8,8,67
0.0,750,66,1,70,8,8,77
0.0,75,7,1,8,8,11,66
4017.0,1099,80,1,65,8,10,67
0.0,69,14,1,44,8,7,67
0.0,350,70,1,45,8,8,56
0.0,810,71,1,45,2,8,67
0.0,484,34,0,7,2,10,67
0.0,132,4,0,50,8,7,67
0.0,903,51,1,9,8,10,67
2564.0,302,45,1,60,8,13,67
48999.0,1809,318,1,88,6,13,67
7380.0,1423,146,1,67,3,10,67
7157.0,2051,325,1,110,8,13,32
3469.0,115,11,0,146,8,8,67
