screenCnt,audiAcc,act_n,dist_rank,genre_rank,등급_12세관람가,등급_12세이상관람가,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,cont_rank
235,14261,1.9459101490553132,33,8,0,0,0,1,0,8
108,22770,2.70805020110221,27,10,0,0,1,0,0,2
422,177145,1.9459101490553132,33,15,0,0,1,0,0,2
569,213980,1.9459101490553132,2,4,0,1,0,0,0,2
49,13709,0.6931471805599453,50,18,0,0,0,1,0,6
121,32789,2.70805020110221,3,7,0,1,0,0,0,2
1,60,1.9459101490553132,86,4,0,0,1,0,0,2
22,1238,4.356708826689592,71,18,0,0,1,0,0,1
1,16,0.6931471805599453,71,18,0,0,1,0,0,1
1,1,0.6931471805599453,101,13,0,0,0,0,1,6
192,198229,1.791759469228055,42,11,0,0,0,0,1,19
1,1,1.791759469228055,99,15,0,0,1,0,0,2
751,535354,1.0986122886681098,8,8,0,0,0,1,0,6
1,1,1.0986122886681098,98,4,0,0,0,0,1,2
1,50,2.3978952727983707,71,11,0,0,1,0,0,2
5,234,1.791759469228055,71,13,0,0,1,0,0,2
10,676,1.791759469228055,71,19,0,0,0,1,0,2
45,6618,2.6390573296152584,47,8,0,1,0,0,0,6
1,1,2.0794415416798357,101,11,0,1,0,0,0,6
791,1708672,2.302585092994046,5,4,0,1,0,0,0,2
1,10,1.9459101490553132,71,6,0,0,0,0,1,11
1,1,1.791759469228055,71,4,0,0,1,0,0,2
42,27403,2.0794415416798357,9,11,0,0,1,0,0,2
140,21884,2.0794415416798357,33,11,0,0,1,0,0,2
4,28,1.9459101490553132,89,4,0,0,0,0,1,2
322,20513,2.302585092994046,36,8,0,0,0,1,0,29
1,1,2.0794415416798357,87,4,0,0,0,0,1,7
25,5667,1.791759469228055,39,11,0,0,1,0,0,11
1,1,2.3978952727983707,101,11,0,0,0,1,0,6
5,37,2.5649493574615367,71,2,0,1,0,0,0,11
1,1,1.0986122886681098,71,7,0,1,0,0,0,2
5,36,1.791759469228055,89,4,0,0,1,0,0,2
1,50,1.6094379124341003,71,11,0,0,1,0,0,2
1,1,1.791759469228055,71,4,0,0,0,0,1,2
31,2434,1.6094379124341003,10,18,0,0,0,1,0,1
227,272749,1.791759469228055,71,11,0,0,1,0,0,2
233,37300,1.791759469228055,9,11,0,1,0,0,0,5
231,30200,1.0986122886681098,19,18,0,0,0,1,0,5
925,1314274,3.1780538303479458,15,10,0,0,1,0,0,1
22,3524,1.791759469228055,71,8,0,0,0,1,0,13
1,1,1.0986122886681098,77,13,0,0,0,0,1,1
4,17,1.791759469228055,71,4,0,0,0,0,1,18
599,388300,1.9459101490553132,5,8,0,0,0,1,0,2
90,3340,3.258096538021482,56,11,0,0,1,0,0,1
4,33,1.9459101490553132,42,3,0,0,1,0,0,11
28,1860,2.302585092994046,49,13,0,0,1,0,0,1
213,217785,2.0794415416798357,9,11,0,0,0,0,1,2
1576,3784602,2.1972245773362196,3,4,0,0,0,0,1,2
1,1,2.0794415416798357,89,6,0,0,0,0,1,2
1,1,2.3978952727983707,89,10,0,0,0,0,1,2
1,1,1.791759469228055,78,15,0,0,1,0,0,18
20,2002,1.0986122886681098,48,18,0,0,0,1,0,11
1,1,1.9459101490553132,95,4,0,0,0,0,1,2
5,51,1.0986122886681098,71,4,0,0,1,0,0,16
111,30833,1.9459101490553132,9,11,0,1,0,0,0,5
249,13314,2.302585092994046,39,8,0,0,0,1,0,5
389,108344,2.1972245773362196,3,10,0,0,0,0,1,2
134,8281,2.3978952727983707,36,11,0,1,0,0,0,24
5,1688,2.1972245773362196,71,11,0,0,1,0,0,1
1,60,1.791759469228055,71,7,0,0,0,0,1,2
271,12784,1.9459101490553132,28,11,0,0,1,0,0,2
5,82,1.791759469228055,42,4,0,0,0,0,1,2
172,42413,3.091042453358316,32,8,0,0,1,0,0,6
544,214949,2.0794415416798357,6,4,0,0,1,0,0,2
14,4522,1.791759469228055,70,7,0,0,0,1,0,8
1,1,1.791759469228055,96,15,0,0,1,0,0,24
276,17463,1.791759469228055,33,8,0,0,0,1,0,25
49,6912,2.0794415416798357,38,11,0,0,1,0,0,1
5,115,1.791759469228055,71,4,0,0,1,0,0,2
5,22,1.791759469228055,88,15,0,0,1,0,0,2
5,269,1.791759469228055,78,11,0,0,1,0,0,27
242,44141,0.6931471805599453,24,8,0,0,0,1,0,18
126,173010,2.6390573296152584,18,11,0,0,1,0,0,6
1,1,1.791759469228055,97,10,0,0,1,0,0,2
172,37134,1.6094379124341003,7,10,0,0,0,0,1,2
1605,3033052,1.791759469228055,2,8,0,0,0,1,0,2
1,35,1.791759469228055,71,10,0,0,1,0,0,1
178,4112,1.791759469228055,20,7,0,0,1,0,0,11
21,3682,1.791759469228055,71,11,0,0,1,0,0,11
