screenCnt,Target,act_n,dist_rank,genre_rank,등급_12세관람가,등급_12세이상관람가,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,cont_rank
121,11,2.70805020110221,3,7,0,1,0,0,0,2
1,11,1.9459101490553132,86,4,0,0,1,0,0,2
22,11,4.356708826689592,71,18,0,0,1,0,0,1
1,11,0.6931471805599453,71,18,0,0,1,0,0,1
1,11,0.6931471805599453,98,13,0,0,0,0,1,6
192,11,1.791759469228055,43,11,0,0,0,0,1,19
1,11,1.791759469228055,96,15,0,0,1,0,0,2
751,11,1.0986122886681098,8,8,0,0,0,1,0,6
1,11,1.0986122886681098,99,4,0,0,0,0,1,2
1,11,2.3978952727983707,71,11,0,0,1,0,0,2
5,11,1.791759469228055,71,13,0,0,1,0,0,2
10,11,1.791759469228055,71,19,0,0,0,1,0,2
45,11,2.6390573296152584,48,8,0,1,0,0,0,6
1,11,2.0794415416798357,98,11,0,1,0,0,0,6
791,10,2.302585092994046,5,4,0,1,0,0,0,2
1,11,1.9459101490553132,71,6,0,0,0,0,1,11
1,11,1.791759469228055,71,4,0,0,1,0,0,2
42,11,2.0794415416798357,9,11,0,0,1,0,0,2
140,11,2.0794415416798357,34,11,0,0,1,0,0,2
4,11,1.9459101490553132,89,4,0,0,0,0,1,2
322,11,2.302585092994046,37,8,0,0,0,1,0,29
1,11,2.0794415416798357,87,4,0,0,0,0,1,7
25,11,1.791759469228055,40,11,0,0,1,0,0,11
1,11,2.3978952727983707,98,11,0,0,0,1,0,6
5,11,2.5649493574615367,71,2,0,1,0,0,0,11
1,11,1.0986122886681098,71,7,0,1,0,0,0,2
5,11,1.791759469228055,89,4,0,0,1,0,0,2
1,11,1.6094379124341003,71,11,0,0,1,0,0,2
1,11,1.791759469228055,71,4,0,0,0,0,1,2
31,11,1.6094379124341003,11,18,0,0,0,1,0,1
227,11,1.791759469228055,71,11,0,0,1,0,0,2
233,11,1.791759469228055,9,11,0,1,0,0,0,5
231,11,1.0986122886681098,20,18,0,0,0,1,0,5
925,10,3.1780538303479458,16,10,0,0,1,0,0,1
22,11,1.791759469228055,71,8,0,0,0,1,0,13
1,11,1.0986122886681098,77,13,0,0,0,0,1,1
4,11,1.791759469228055,71,4,0,0,0,0,1,18
599,11,1.9459101490553132,5,8,0,0,0,1,0,2
90,11,3.258096538021482,57,11,0,0,1,0,0,1
4,11,1.9459101490553132,43,3,0,0,1,0,0,11
28,11,2.302585092994046,50,13,0,0,1,0,0,1
213,11,2.0794415416798357,9,11,0,0,0,0,1,2
1576,8,2.1972245773362196,3,4,0,0,0,0,1,2
1,11,2.0794415416798357,89,6,0,0,0,0,1,2
1,11,2.3978952727983707,89,10,0,0,0,0,1,2
1,11,1.791759469228055,78,15,0,0,1,0,0,18
20,11,1.0986122886681098,49,18,0,0,0,1,0,11
1,11,1.9459101490553132,95,4,0,0,0,0,1,2
5,11,1.0986122886681098,71,4,0,0,1,0,0,16
111,11,1.9459101490553132,9,11,0,1,0,0,0,5
249,11,2.302585092994046,40,8,0,0,0,1,0,5
389,11,2.1972245773362196,3,10,0,0,0,0,1,2
134,11,2.3978952727983707,37,11,0,1,0,0,0,24
5,11,2.1972245773362196,71,11,0,0,1,0,0,1
1,11,1.791759469228055,71,7,0,0,0,0,1,2
271,11,1.9459101490553132,29,11,0,0,1,0,0,2
5,11,1.791759469228055,43,4,0,0,0,0,1,2
172,11,3.091042453358316,33,8,0,0,1,0,0,6
544,11,2.0794415416798357,6,4,0,0,1,0,0,2
14,11,1.791759469228055,70,7,0,0,0,1,0,8
1,11,1.791759469228055,101,15,0,0,1,0,0,24
276,11,1.791759469228055,34,8,0,0,0,1,0,25
49,11,2.0794415416798357,39,11,0,0,1,0,0,1
5,11,1.791759469228055,71,4,0,0,1,0,0,2
5,11,1.791759469228055,88,15,0,0,1,0,0,2
5,11,1.791759469228055,78,11,0,0,1,0,0,27
242,11,0.6931471805599453,25,8,0,0,0,1,0,18
126,11,2.6390573296152584,19,11,0,0,1,0,0,6
1,11,1.791759469228055,97,10,0,0,1,0,0,2
172,11,1.6094379124341003,7,10,0,0,0,0,1,2
1605,8,1.791759469228055,2,8,0,0,0,1,0,2
1,11,1.791759469228055,71,10,0,0,1,0,0,1
178,11,1.791759469228055,21,7,0,0,1,0,0,11
21,11,1.791759469228055,71,11,0,0,1,0,0,11
280,11,1.6094379124341003,33,8,0,0,0,1,0,16
69,11,1.791759469228055,43,11,0,0,0,1,0,6
344,11,1.791759469228055,33,8,0,0,0,1,0,5
20,11,1.9459101490553132,60,4,0,0,0,0,1,2
831,10,1.791759469228055,9,4,0,1,0,0,0,2
1,11,2.5649493574615367,71,7,0,0,1,0,0,1
601,11,2.1972245773362196,4,4,0,1,0,0,0,2
1,11,3.091042453358316,71,5,0,0,1,0,0,1
80,11,2.0794415416798357,21,11,0,0,1,0,0,2
278,11,1.791759469228055,60,4,0,0,1,0,0,2
1,11,1.6094379124341003,89,4,0,0,1,0,0,2
1,11,1.791759469228055,101,15,0,0,1,0,0,5
228,11,1.791759469228055,37,15,0,0,0,0,1,10
54,11,2.0794415416798357,28,11,0,0,1,0,0,5
28,11,1.9459101490553132,70,18,0,0,0,1,0,6
268,11,2.302585092994046,34,8,0,0,0,1,0,15
47,11,2.1972245773362196,71,5,0,1,0,0,0,16
11,11,1.3862943611198906,74,19,0,0,1,0,0,13
128,11,2.1972245773362196,28,13,0,1,0,0,0,2
816,9,1.791759469228055,5,11,0,1,0,0,0,2
1,11,1.791759469228055,94,4,0,1,0,0,0,13
582,11,1.9459101490553132,3,6,0,0,0,0,1,2
65,11,2.1972245773362196,71,8,0,0,0,1,0,1
17,11,1.9459101490553132,78,3,0,0,1,0,0,21
715,10,2.1972245773362196,5,8,0,0,0,1,0,2
1,11,1.0986122886681098,89,4,0,0,1,0,0,2
16,11,4.23410650459726,20,11,0,0,0,0,1,1
5,11,1.0986122886681098,67,15,0,1,0,0,0,18
172,11,3.2188758248682006,71,8,0,0,0,1,0,1
6,11,0.6931471805599453,67,4,0,0,1,0,0,20
338,11,2.302585092994046,6,8,0,0,0,1,0,6
17,11,3.5553480614894135,58,11,0,0,0,1,0,1
490,11,1.791759469228055,13,13,0,1,0,0,0,2
57,11,1.791759469228055,65,15,0,0,1,0,0,6
97,11,1.791759469228055,49,4,0,0,1,0,0,2
1,11,1.6094379124341003,93,4,0,0,1,0,0,2
5,11,1.791759469228055,78,4,0,0,1,0,0,16
354,11,2.3978952727983707,40,2,0,0,0,1,0,18
1,11,0.6931471805599453,101,10,0,0,0,0,1,10
5,11,1.791759469228055,71,3,0,0,1,0,0,20
22,11,0.6931471805599453,51,2,0,0,0,1,0,4
5,11,1.3862943611198906,90,4,0,0,1,0,0,16
305,11,1.6094379124341003,71,8,0,0,0,1,0,11
429,11,2.1972245773362196,29,8,0,0,0,1,0,13
113,11,1.6094379124341003,40,8,0,1,0,0,0,6
55,11,1.791759469228055,43,13,0,0,1,0,0,6
